Season,Slot,Strongseed,Weakseed,Round,matchup,Oteam_x,Oteam_y,StrongTeam_Name,WeakTeam_Name,Wteam_Name,Lteam_Name
2015,R1Y3,Y03,Y14,R1,1318_1323,1323,1323,Notre Dame,Northeastern,Notre Dame,Northeastern
2015,R2Y3,R1Y3,R1Y6,R2,1139_1323,1323,1323,Notre Dame,Butler,Notre Dame,Butler
2015,R1Y5,Y05,Y12,R1,1138_1452,1452,1452,West Virginia,Buffalo,West Virginia,Buffalo
2015,R1Y6,Y06,Y11,R1,1139_1400,1139,1139,Butler,Texas,Butler,Texas
2015,R1Y7,Y07,Y10,R1,1231_1455,1455,1455,Wichita St,Indiana,Wichita St,Indiana
2015,R1Y8,Y08,Y09,R1,1153_1345,1153,1153,Cincinnati,Purdue,Cincinnati,Purdue
2015,R1Z1,Z01,Z16,R1,1157_1458,1458,1458,Wisconsin,Coastal Car,Wisconsin,Coastal Car
2015,R2Z1,R1Z1,R1Z8,R2,1332_1458,1458,1458,Wisconsin,Oregon,Wisconsin,Oregon
2015,R3Z1,R2Z1,R2Z4,R3,1314_1458,1458,1458,Wisconsin,North Carolina,Wisconsin,North Carolina
2015,R4Z1,R3Z1,R3Z2,R4,1112_1458,1458,1458,Wisconsin,Arizona,Wisconsin,Arizona
2015,R1Z2,Z02,Z15,R1,1112_1411,1112,1112,Arizona,TX Southern,Arizona,TX Southern
2015,R2Z2,R1Z2,R1Z7,R2,1112_1326,1112,1112,Arizona,Ohio St,Arizona,VA Commonwealth
2015,R3Z2,R2Z2,R2Z3,R3,1112_1462,1112,1112,Arizona,Xavier,Arizona,Baylor
2015,R1Z7,Z07,Z10,R1,1326_1433,1326,1433,VA Commonwealth,Ohio St,VA Commonwealth,Ohio St
2015,R2Z3,R1Z3,R1Z6,R2,1209_1462,1462,1124,Georgia St,Xavier,Baylor,Xavier
2015,R1Z3,Z03,Z14,R1,1124_1209,1209,1124,Baylor,Georgia St,Baylor,Georgia St
2015,R1Z4,Z04,Z13,R1,1217_1314,1314,1314,North Carolina,Harvard,North Carolina,Harvard
2015,R2Z4,R1Z4,R1Z5,R2,1116_1314,1314,1314,North Carolina,Arkansas,North Carolina,Arkansas
2015,R1Z5,Z05,Z12,R1,1116_1459,1116,1116,Arkansas,Wofford,Arkansas,Wofford
2015,R1Z6,Z06,Z11,R1,1279_1462,1462,1462,Xavier,Mississippi,Xavier,Mississippi
2015,R1Z8,Z08,Z09,R1,1329_1332,1332,1332,Oregon,Oklahoma St,Oregon,Oklahoma St
